,id,commonName,borough,latitude,longitude,NbBikes,EmptyDocks,NbDocks
247,BikePoints_28,Bolsover Street, Fitzrovia,51.523518,-0.143613,4,14,18
248,BikePoints_29,Hereford Road, Bayswater,51.513735,-0.193487,3,18,21
249,BikePoints_30,Windsor Terrace, Hoxton,51.529154,-0.093421,13,6,19
250,BikePoints_31,Fanshaw Street, Hoxton,51.529537,-0.083353,18,15,33
251,BikePoints_32,Leonard Circus , Shoreditch,51.524696,-0.084439,5,37,42
252,BikePoints_33,Central House, Aldgate,51.515231,-0.07015,1,17,18
253,BikePoints_34,Pancras Road, King's Cross,51.534123,-0.129386,6,10,16
254,BikePoints_36,De Vere Gardens, Kensington,51.501737,-0.18498,0,28,28
255,BikePoints_37,Penywern Road, Earl's Court,51.491593,-0.192369,4,9,13
256,BikePoints_38,Abingdon Villas, Kensington,51.497387,-0.197245,2,13,15
257,BikePoints_39,Shoreditch High Street, Shoreditch,51.526377,-0.07813,3,39,42
258,BikePoints_40,Commercial Street, Shoreditch,51.52127,-0.075578,2,14,16
259,BikePoints_41,Pindar Street, Liverpool Street,51.520955,-0.083493,8,16,24
260,BikePoints_42,Wenlock Road , Hoxton,51.530991,-0.093903,11,10,21
261,BikePoints_43,Crawford Street, Marylebone,51.52026,-0.157183,6,11,17
262,BikePoints_44,Bruton Street, Mayfair,51.510736,-0.144165,6,17,23
263,BikePoints_45,Boston Place, Marylebone,51.522511,-0.162298,1,26,27
264,BikePoints_46,Nesham Street, Wapping,51.507131,-0.06691,9,4,13
265,BikePoints_47,Warwick Avenue Station, Maida Vale,51.523344,-0.183846,7,4,11
266,BikePoints_48,Godliman Street, St. Paul's,51.512484,-0.099141,10,18,28
267,BikePoints_49,Curzon Street, Mayfair,51.507069,-0.145904,12,11,23
268,BikePoints_50,East Road, Hoxton,51.528673,-0.087459,12,14,26
269,BikePoints_51,Finsbury Library , Finsbury,51.526717,-0.104298,12,17,29
270,BikePoints_52,Roscoe Street, St. Luke's,51.522954,-0.094934,5,13,18
